time,acc_x,acc_y,acc_z,local max
1408129714183,-1.53583982739,6.94111394713,-0.80320200356,0.0
1408129714191,-1.75315369422,6.98438844078,-0.571421507277,0.0
1408129714216,-2.13918008991,7.22940524191,-0.417153637021,0.0
1408129714216,-2.59247913222,7.58862049299,-0.199975598334,0.0
1408129714223,-2.96118653091,7.92768694651,0.126906655099,0.0
1408129714246,-3.16746489404,8.28356160164,-0.0448884659505,0.0
1408129714247,-3.38251421135,8.41691413187,-0.374127543421,0.0
1408129714249,-3.08957767108,8.40959120274,-0.563020777634,0.0
1408129714269,-2.68123936213,8.85573867615,-0.793752729402,0.0
1408129714270,-2.80539825282,9.0736376521,-0.443682381869,0.0
1408129714286,-3.55473947239,8.66226258119,0.206785671115,0.0
1408129714290,-4.31393203417,8.57401608372,-0.146439837693,0.0
1408129714331,-4.25828891959,9.10019354579,-0.87257730199,0.0
1408129714333,-3.3103754837,10.1022193438,-0.981173070826,0.0
1408129714334,-2.53603266613,11.3111456084,-0.379450040591,0.0
1408129714335,-2.35699221068,12.4442229773,-0.463091404629,0.0
1408129714365,-1.83843530323,12.5187911996,-0.560605673069,0.0
1408129714366,-1.49017317022,11.1673616461,0.590516829453,0.0
1408129714367,-1.79347269432,10.1032311222,1.33970067251,0.0
1408129714370,-1.86097793778,10.1213128375,0.559965767605,0.0
1408129714402,-1.04067288962,10.2037019593,0.718646905562,0.0
1408129714403,0.179147950865,9.66236316669,1.79280535632,0.0
1408129714403,1.61130977297,8.94268906119,2.54061169864,0.0
1408129714456,2.7994773512,8.5458186354,2.50088923786,0.0
1408129714457,3.33673576555,10.0076645918,2.6482177691,0.0
1408129714457,3.30001400259,12.5344083341,1.79262434896,0.0
1408129714458,2.93099190389,16.2438551659,0.638081324243,0.0
1408129714459,2.69103559281,19.851934093,0.479812480805,0.0
1408129714461,2.87548531694,20.1712111846,0.838086748636,20.1712111846
1408129714469,2.70925228539,19.15143285,0.0680204703591,0.0
1408129714488,2.2077948778,15.2483608778,-1.52799440267,0.0
1408129714511,1.66859253606,11.194890213,-2.672238079,0.0
1408129714512,1.25420603626,8.42393097603,-3.02770100345,0.0
1408129714512,2.10139415582,8.85429072361,-2.29540059735,0.0
1408129714521,2.66846722113,9.17339741942,-1.03766054159,0.0
1408129714535,1.92964619042,9.22538090464,-0.527501970577,0.0
1408129714554,0.980883067449,7.85972104713,-1.12186450147,0.0
1408129714554,-0.0498594535182,7.23040294298,-1.92857958545,0.0
1408129714575,-0.509473040798,7.1163700313,-1.65513493487,0.0
1408129714576,-1.65127949621,8.24440213193,-0.487639378973,0.0
1408129714581,-2.48764349474,9.13437082964,0.641566995969,0.0
1408129714609,-2.45675739641,8.90497102127,1.08649438729,0.0
1408129714609,-1.81265960979,7.74105212928,0.918891032413,0.0
1408129714610,-1.34752975349,6.74070846889,0.393224616175,0.0
1408129714648,-1.19803933837,5.67548178227,-0.000362260682008,0.0
1408129714649,-0.883929185155,4.84869257853,-0.433690446632,0.0
1408129714650,-0.646452445376,4.39769359693,-0.915058779146,0.0
1408129714651,-0.609243070421,4.44160376268,-1.41528857618,0.0
1408129714674,-0.513495208258,4.77788389903,-1.7703316189,0.0
1408129714675,-0.23702237272,5.43997157208,-1.52038417405,0.0
1408129714684,-0.0492647681079,6.01151901781,-0.97774858226,0.0
1408129714708,0.0375851869503,6.43651740444,-0.535204511531,0.0
1408129714709,-0.0762131529908,6.6530815652,-0.327613168572,0.0
1408129714710,-0.338391953961,6.87981238561,-0.266111983081,0.0
1408129714721,-0.72063641284,7.17436076482,-0.442685984331,0.0
1408129714737,-1.12428417743,7.55042366725,-0.765437416498,0.0
1408129714756,-1.52255014746,7.80788447857,-0.952686863027,0.0
1408129714756,-1.8175651901,8.13686460009,-1.3022788132,0.0
1408129714780,-1.8330937921,8.6756350801,-1.82508109117,0.0
1408129714781,-1.694852489,9.28600645551,-1.93734165733,0.0
1408129714782,-1.34084897203,9.7470102047,-2.00553309197,0.0
1408129714808,-0.889712393202,9.97761424397,-2.33883794987,0.0
1408129714808,-0.617821143851,10.1201752045,-2.3981136337,0.0
1408129714810,-0.1333963816,10.8084721815,-2.52453246026,0.0
1408129714822,0.198228177853,12.2712838271,-2.70165044193,0.0
1408129714837,0.435164073045,13.9081524263,-1.18271250769,0.0
1408129714853,-0.0325240323496,14.3737399923,1.28384109078,0.0
1408129714853,-1.25235253951,12.8519096521,1.55537182795,0.0
1408129714875,-2.33567307762,10.545899846,-1.04126477559,0.0
1408129714875,-2.2445536657,12.007934847,-5.37372155849,0.0
1408129714881,-1.04810944805,16.5967810994,-4.08842519688,0.0
1408129714913,0.825458227521,17.7649154346,1.07040957951,17.7649154346
1408129714914,2.93639709726,16.5516151131,2.51258012294,0.0
1408129714915,4.10944532179,15.508605762,1.07772431691,0.0
1408129714944,4.33680520832,13.7341060654,1.15266753495,0.0
1408129714945,4.44943081345,11.38508265,1.05235960348,0.0
1408129714945,4.56526070929,10.3449205523,0.368617234401,0.0
1408129714950,4.16110690159,9.65044239171,1.42425773355,0.0
1408129714977,3.47065797114,8.27435766935,1.3716134525,0.0
1408129714978,2.67291775105,7.8219284884,0.853531166055,0.0
1408129714982,1.93801068493,7.80220029711,1.38714603064,0.0
1408129715007,1.38319272939,8.14155189979,1.78857266399,0.0
